当地时间 北京	T	Po	P	Pa	U
23.12.2021 17:00	-1.6	768.1	771.4		57
23.12.2021 14:00	-2.2	766.9	770.2		62
23.12.2021 11:00	-2.4	768.1	771.4		64
23.12.2021 08:00	-2.5	767.8	771.1		68
23.12.2021 05:00	-1.9	767.5	770.8		90
23.12.2021 02:00	-2.2	767.6	770.8		85
22.12.2021 23:00	0.3	767.5	770.8		72
22.12.2021 20:00	0.7	766.6	769.9		66
22.12.2021 17:00	4.0	765.5	768.7		50
22.12.2021 14:00	5.6	765.4	768.7		43
22.12.2021 11:00	3.4	767.0	770.2		45
22.12.2021 08:00	0.1	766.5	769.7		52
22.12.2021 05:00	0.4	765.9	769.1		60
22.12.2021 02:00	0.6	765.5	768.7		60
21.12.2021 23:00	1.3	765.4	768.7		60
21.12.2021 20:00	3.3	764.2	767.4		62
21.12.2021 17:00	5.3	762.7	766.0		58
21.12.2021 14:00	8.1	762.4	765.6		49
21.12.2021 11:00	5.8	763.9	767.2		57
21.12.2021 08:00	-2.0	762.5	765.7		57
21.12.2021 05:00	0.3	760.3	763.6		43
21.12.2021 02:00	1.5	759.9	763.0		42
20.12.2021 23:00	0.5	759.0	762.1		51
20.12.2021 20:00	1.5	757.9	761.1		52
20.12.2021 17:00	8.5	756.7	759.9		28
20.12.2021 14:00	12.4	756.0	759.1		20
20.12.2021 11:00	9.6	757.6	760.8		25
20.12.2021 08:00	-3.8	757.9	761.2		81
20.12.2021 05:00	-4.2	757.6	760.9		73
20.12.2021 02:00	-2.9	758.5	761.7		67
19.12.2021 23:00	-2.2	759.1	762.3		63
19.12.2021 20:00	0.8	759.5	762.7		46
19.12.2021 17:00	5.4	759.1	762.4		29
19.12.2021 14:00	9.0	759.8	763.0		25
19.12.2021 11:00	3.8	761.9	765.1		33
19.12.2021 08:00	-4.8	762.7	766.0		63
19.12.2021 05:00	-5.8	762.7	766.0		62
19.12.2021 02:00	-3.9	764.2	767.4		50
18.12.2021 23:00	-3.4	765.1	768.4		47
18.12.2021 20:00	-2.2	765.2	768.5		39
18.12.2021 17:00	3.1	764.3	767.6		20
18.12.2021 14:00	5.6	764.4	767.7		13
18.12.2021 11:00	1.1	766.2	769.5		30
18.12.2021 08:00	-7.2	766.2	769.5		55
18.12.2021 05:00	-8.1	767.0	770.3		53
18.12.2021 02:00	-7.4	768.8	772.1		42
17.12.2021 23:00	-6.1	770.6	774.0		31
17.12.2021 20:00	-4.1	772.2	775.6		22
17.12.2021 17:00	-2.0	773.1	776.5		17
17.12.2021 14:00	-0.7	774.1	777.4		14
17.12.2021 11:00	-3.7	776.2	779.5		18
17.12.2021 08:00	-7.1	775.9	779.2		24
17.12.2021 05:00	-6.4	774.6	777.9		18
17.12.2021 02:00	-3.4	773.4	776.7		21
16.12.2021 23:00	-1.3	772.6	775.9		21
16.12.2021 20:00	-0.1	771.0	774.3		24
16.12.2021 17:00	2.2	769.3	772.5		18
16.12.2021 14:00	3.9	768.1	771.4		19
16.12.2021 11:00	3.5	768.5	771.8		21
16.12.2021 08:00	3.6	766.0	769.3		25
16.12.2021 05:00	2.4	762.7	766.0		40
16.12.2021 02:00	-2.9	762.6	765.8		88
15.12.2021 23:00	-2.4	762.4	765.6		85
15.12.2021 20:00	-1.7	762.0	765.3		82
15.12.2021 17:00	1.7	761.3	764.5		61
15.12.2021 14:00	3.2	761.3	764.5		55
15.12.2021 11:00	1.8	763.3	766.6		61
15.12.2021 08:00	-4.5	762.8	766.1		88
15.12.2021 05:00	-4.1	761.6	764.8		83
15.12.2021 02:00	-3.4	761.4	764.6		81
14.12.2021 23:00	-2.2	761.2	764.5		73
14.12.2021 20:00	1.8	760.3	763.6		55
14.12.2021 17:00	3.9	759.0	762.2		46
14.12.2021 14:00	6.3	757.9	761.2		37
14.12.2021 11:00	1.9	759.7	762.9		51
14.12.2021 08:00	-4.9	760.0	763.3		80
14.12.2021 05:00	-5.1	760.0	763.2		82
14.12.2021 02:00	-5.1	761.2	764.4		82
13.12.2021 23:00	-3.9	762.5	765.8		75
13.12.2021 20:00	-0.7	763.4	766.7		57
13.12.2021 17:00	2.1	763.7	767.0		39
13.12.2021 14:00	3.7	764.8	768.1		38
13.12.2021 11:00	1.3	768.1	771.4		42
13.12.2021 08:00	-4.7	769.3	772.6		62
13.12.2021 05:00	-5.0	770.1	773.4		61
13.12.2021 02:00	-2.5	771.7	775.0		45
12.12.2021 23:00	-1.7	772.8	776.1		37
12.12.2021 20:00	-0.1	773.3	776.6		28
12.12.2021 17:00	2.4	773.1	776.4		15
12.12.2021 14:00	3.0	774.1	777.4		16
12.12.2021 11:00	1.4	776.7	780.0		19
12.12.2021 08:00	-1.3	776.8	780.1		28
12.12.2021 05:00	0.0	775.6	778.8		23
12.12.2021 02:00	2.2	774.7	778.0		24
11.12.2021 23:00	5.1	772.9	776.1		26
11.12.2021 20:00	6.5	771.5	774.7		22
11.12.2021 17:00	9.0	768.8	772.0		17
11.12.2021 14:00	11.3	767.8	771.1		24
11.12.2021 11:00	7.7	769.3	772.6		43
11.12.2021 08:00	-0.2	769.3	772.5		91
11.12.2021 05:00	-0.2	769.0	772.3		92
11.12.2021 02:00	1.3	769.4	772.6		86
10.12.2021 23:00	2.9	769.6	772.9		85
10.12.2021 20:00	4.3	769.3	772.5		84
10.12.2021 17:00	6.9	768.4	771.7		45
10.12.2021 14:00	9.5	767.8	771.0		36
10.12.2021 11:00	6.7	769.3	772.5		49
10.12.2021 08:00	0.5	768.9	772.1		97
10.12.2021 05:00	0.1	767.2	770.5		95
10.12.2021 02:00	2.8	767.8	771.0		87
09.12.2021 23:00	1.6	767.2	770.5		95
09.12.2021 20:00	3.1	767.0	770.2		90
09.12.2021 17:00	4.2	766.3	769.5		85
09.12.2021 14:00	3.4	765.7	769.0		96
09.12.2021 11:00	3.5	767.4	770.6		93
09.12.2021 08:00	3.4	767.2	770.4		93
09.12.2021 05:00	3.0	766.9	770.1		93
09.12.2021 02:00	3.9	768.0	771.2		90
08.12.2021 23:00	4.9	769.0	772.3		71
08.12.2021 20:00	5.5	769.0	772.2		61
08.12.2021 17:00	5.9	769.0	772.2		51
08.12.2021 14:00	7.2	769.6	772.8		45
08.12.2021 11:00	4.8	771.4	774.6		51
08.12.2021 08:00	0.8	771.4	774.7		69
08.12.2021 05:00	-0.4	771.1	774.3		69
08.12.2021 02:00	-1.6	771.4	774.7		73
07.12.2021 23:00	-0.4	771.7	775.0		69
07.12.2021 20:00	1.9	771.7	775.0		58
07.12.2021 17:00	6.5	771.2	774.4		40
07.12.2021 14:00	9.9	771.4	774.6		32
07.12.2021 11:00	6.6	773.2	776.5		41
07.12.2021 08:00	-1.0	773.2	776.5		68
07.12.2021 05:00	-0.4	772.6	775.9		61
07.12.2021 02:00	-0.9	773.0	776.2		61
06.12.2021 23:00	0.7	772.9	776.1		58
06.12.2021 20:00	3.7	772.1	775.3		45
06.12.2021 17:00	9.4	771.0	774.1		22
06.12.2021 14:00	12.1	770.6	773.8		19
06.12.2021 11:00	10.1	771.0	774.2		20
06.12.2021 08:00	7.6	768.8	772.0		22
06.12.2021 05:00	8.0	765.8	769.0		21
06.12.2021 02:00	3.1	764.3	767.5		81
05.12.2021 23:00	3.0	763.4	766.6		81
05.12.2021 20:00	2.6	763.1	766.3		76
05.12.2021 17:00	7.7	762.5	765.7		46
05.12.2021 14:00	10.2	762.9	766.1		42
05.12.2021 11:00	6.8	765.0	768.2		54
05.12.2021 08:00	-1.1	765.4	768.7		76
05.12.2021 05:00	-1.9	765.7	768.9		77
05.12.2021 02:00	-1.1	766.0	769.3		76
04.12.2021 23:00	0.9	766.3	769.6		62
04.12.2021 20:00	2.4	766.3	769.6		53
04.12.2021 17:00	9.7	765.9	769.1		27
04.12.2021 14:00	13.7	766.2	769.3		18
04.12.2021 11:00	9.3	767.8	771.0		33
04.12.2021 08:00	-0.5	767.5	770.7		71
04.12.2021 05:00	-1.2	765.9	769.1		79
04.12.2021 02:00	0.3	765.5	768.7		67
03.12.2021 23:00	2.7	764.9	768.1		54
03.12.2021 20:00	6.0	764.1	767.3		39
03.12.2021 17:00	10.2	763.1	766.3		26
03.12.2021 14:00	12.5	763.0	766.2		20
03.12.2021 11:00	10.1	765.1	768.2		23
03.12.2021 08:00	3.0	764.6	767.8		41
03.12.2021 05:00	0.3	763.0	766.2		52
03.12.2021 02:00	4.8	763.2	766.3		31
02.12.2021 23:00	6.5	762.2	765.4		28
02.12.2021 20:00	9.0	760.5	763.7		22
02.12.2021 17:00	11.4	758.4	761.5		19
02.12.2021 14:00	13.0	757.4	760.6		17
02.12.2021 11:00	9.3	759.4	762.6		25
02.12.2021 08:00	-1.2	760.7	763.9		61
02.12.2021 05:00	-1.8	761.5	764.8		61
02.12.2021 02:00	-0.4	763.3	766.6		53
01.12.2021 23:00	1.9	765.3	768.5		38
01.12.2021 20:00	3.0	766.0	769.2		34
01.12.2021 17:00	6.3	766.5	769.7		24
01.12.2021 14:00	9.5	767.3	770.5		17
01.12.2021 11:00	7.4	769.8	773.0		21
01.12.2021 08:00	-1.4	769.9	773.2		50
01.12.2021 05:00	-2.0	769.0	772.2		46
01.12.2021 02:00	-1.2	769.2	772.4		41
30.11.2021 23:00	0.2	769.3	772.5		34
30.11.2021 20:00	3.4	769.0	772.2		25
30.11.2021 17:00	5.0	768.0	771.2		18
30.11.2021 14:00	5.3	767.7	770.9		20
30.11.2021 11:00	3.3	769.2	772.4		24
30.11.2021 08:00	1.2	767.7	770.9		28
30.11.2021 05:00	3.0	765.5	768.7		31
30.11.2021 02:00	4.1	765.3	768.5		42
29.11.2021 23:00	-0.6	766.0	769.2		89
29.11.2021 20:00	2.0	766.8	770.0		79
29.11.2021 17:00	5.8	766.4	769.6		54
29.11.2021 14:00	4.6	767.1	770.3		76
29.11.2021 11:00	6.9	767.6	770.8		44
29.11.2021 08:00	5.9	767.7	770.9		57
29.11.2021 05:00	0.7	767.4	770.6		92
29.11.2021 02:00	2.8	767.6	770.8		88
28.11.2021 23:00	1.9	767.8	771.0		90
28.11.2021 20:00	3.4	767.9	771.1		85
28.11.2021 17:00	7.0	767.0	770.2		69
28.11.2021 14:00	9.1	767.1	770.3		61
28.11.2021 11:00	6.4	769.0	772.3		74
28.11.2021 08:00	3.9	769.6	772.8		77
28.11.2021 05:00	3.9	769.6	772.8		78
28.11.2021 02:00	3.7	770.1	773.3		80
27.11.2021 23:00	3.4	770.9	774.1		80
27.11.2021 20:00	3.4	771.3	774.6		78
27.11.2021 17:00	8.3	770.5	773.7		57
27.11.2021 14:00	10.0	770.5	773.8		54
27.11.2021 11:00	6.1	772.5	775.7		73
27.11.2021 08:00	-0.3	772.4	775.6		94
27.11.2021 05:00	-1.0	771.7	775.0		92
27.11.2021 02:00	0.4	772.0	775.2		75
26.11.2021 23:00	4.2	771.4	774.7		49
26.11.2021 20:00	5.8	770.8	774.1		37
26.11.2021 17:00	10.9	769.5	772.7		24
26.11.2021 14:00	12.6	768.8	772.0		21
26.11.2021 11:00	10.6	770.0	773.2		24
26.11.2021 08:00	1.8	769.4	772.6		57
26.11.2021 05:00	-0.8	767.8	771.0		68
26.11.2021 02:00	0.0	766.0	769.2		67
25.11.2021 23:00	2.2	764.4	767.5		62
25.11.2021 20:00	3.6	763.4	766.6		51
25.11.2021 17:00	10.0	762.3	765.5		27
25.11.2021 14:00	13.4	762.1	765.2		19
25.11.2021 11:00	11.0	763.3	766.4		23
25.11.2021 08:00	1.2	762.7	766.0		61
25.11.2021 05:00	-0.1	761.2	764.5		62
25.11.2021 02:00	-0.8	760.7	763.9		68
24.11.2021 23:00	1.4	760.0	763.2		60
24.11.2021 20:00	3.8	759.1	762.3		45
24.11.2021 17:00	8.8	757.9	761.1		27
24.11.2021 14:00	12.2	757.5	760.6		19
24.11.2021 11:00	8.0	759.3	762.5		27
24.11.2021 08:00	-1.9	759.6	762.8		65
24.11.2021 05:00	-3.4	759.6	762.8		69
24.11.2021 02:00	-1.9	760.3	763.5		60
23.11.2021 23:00	0.3	761.0	764.2		46
23.11.2021 20:00	3.8	761.2	764.4		30
23.11.2021 17:00	6.0	761.1	764.3		23
23.11.2021 14:00	8.4	761.6	764.8		17
23.11.2021 11:00	5.0	764.0	767.2		26
23.11.2021 08:00	-3.7	764.8	768.1		56
23.11.2021 05:00	-4.8	764.8	768.1		55
23.11.2021 02:00	-3.2	765.5	768.7		39
22.11.2021 23:00	-1.9	766.4	769.7		34
22.11.2021 20:00	0.6	766.6	769.9		19
22.11.2021 17:00	2.7	766.9	770.2		15
22.11.2021 14:00	3.8	767.5	770.8		11
22.11.2021 11:00	1.3	769.5	772.8		15
22.11.2021 08:00	-0.7	769.3	772.6		23
22.11.2021 05:00	-0.5	768.0	771.2		26
22.11.2021 02:00	0.6	767.7	770.9		26
21.11.2021 23:00	1.4	767.8	771.1		25
21.11.2021 20:00	2.9	766.9	770.1		23
21.11.2021 17:00	5.1	765.0	768.2		20
21.11.2021 14:00	7.0	763.4	766.6		19
21.11.2021 11:00	6.7	764.1	767.2		31
21.11.2021 08:00	4.2	764.0	767.2		86
21.11.2021 05:00	4.1	763.3	766.4		86
21.11.2021 02:00	3.5	763.6	766.8		82
20.11.2021 23:00	5.7	764.8	768.0		67
20.11.2021 20:00	5.7	764.6	767.8		62
20.11.2021 17:00	7.9	763.3	766.4		47
20.11.2021 14:00	8.4	763.6	766.7		44
20.11.2021 11:00	6.7	765.1	768.3		52
20.11.2021 08:00	4.7	764.5	767.7		64
20.11.2021 05:00	5.1	763.3	766.4		60
20.11.2021 02:00	6.3	763.8	766.9		55
19.11.2021 23:00	6.0	763.9	767.0		56
19.11.2021 20:00	7.8	763.3	766.4		43
19.11.2021 17:00	8.6	762.8	766.0		42
19.11.2021 14:00	9.8	762.9	766.0		36
19.11.2021 11:00	9.0	764.6	767.8		28
19.11.2021 08:00	4.9	764.3	767.5		29
19.11.2021 05:00	6.7	762.7	765.8		25
19.11.2021 02:00	7.8	761.5	764.7		37
18.11.2021 23:00	7.0	760.1	763.3		74
18.11.2021 20:00	6.3	758.1	761.2		91
18.11.2021 17:00	8.3	756.0	759.1		79
18.11.2021 14:00	8.7	756.0	759.1		78
18.11.2021 11:00	5.5	757.6	760.7		96
18.11.2021 08:00	1.9	758.4	761.5		98
18.11.2021 05:00	1.0	758.2	761.4		96
18.11.2021 02:00	1.9	759.3	762.4		95
17.11.2021 23:00	3.7	760.1	763.3		93
17.11.2021 20:00	6.7	760.3	763.5		84
17.11.2021 17:00	10.2	760.2	763.3		69
17.11.2021 14:00	12.2	760.6	763.7		57
17.11.2021 11:00	8.7	762.6	765.7		74
17.11.2021 08:00	2.6	763.3	766.5		98
17.11.2021 05:00	1.6	763.6	766.8		96
17.11.2021 02:00	3.4	764.9	768.1		94
16.11.2021 23:00	5.5	765.7	768.8		85
16.11.2021 20:00	7.6	766.0	769.2		76
16.11.2021 17:00	9.9	765.4	768.6		63
16.11.2021 14:00	11.7	765.9	769.1		54
16.11.2021 11:00	9.1	767.8	771.0		57
16.11.2021 08:00	1.4	767.8	771.0		90
16.11.2021 05:00	0.9	767.0	770.2		87
16.11.2021 02:00	1.3	767.2	770.4		87
15.11.2021 23:00	2.9	767.1	770.3		81
15.11.2021 20:00	5.6	766.2	769.4		73
15.11.2021 17:00	9.4	764.9	768.1		55
15.11.2021 14:00	10.5	764.5	767.7		49
15.11.2021 11:00	9.4	766.3	769.4		42
15.11.2021 08:00	6.5	766.0	769.2		44
15.11.2021 05:00	5.1	764.8	767.9		47
15.11.2021 02:00	8.2	764.2	767.4		33
14.11.2021 23:00	10.0	763.4	766.6		32
14.11.2021 20:00	5.9	761.8	765.1		59
14.11.2021 17:00	13.1	760.3	763.4		29
14.11.2021 14:00	16.3	760.1	763.3		22
14.11.2021 11:00	12.9	761.5	764.6		30
14.11.2021 08:00	3.3	761.5	764.6		72
14.11.2021 05:00	1.8	760.6	763.7		75
14.11.2021 02:00	5.9	760.3	763.4		49
13.11.2021 23:00	6.2	760.7	763.9		48
13.11.2021 20:00	12.1	759.6	762.7		27
13.11.2021 17:00	15.7	758.0	761.2		18
13.11.2021 14:00	18.3	757.1	760.2		14
13.11.2021 11:00	14.6	758.5	761.7		27
13.11.2021 08:00	2.9	758.8	762.0		79
13.11.2021 05:00	0.4	758.8	762.0		84
13.11.2021 02:00	1.8	759.8	763.0		73
12.11.2021 23:00	3.8	760.6	763.8		63
12.11.2021 20:00	6.1	760.8	764.0		55
12.11.2021 17:00	12.6	760.3	763.5		30
12.11.2021 14:00	15.0	760.9	764.0		20
12.11.2021 11:00	11.6	763.1	766.3		27
12.11.2021 08:00	3.2	763.7	766.9		58
12.11.2021 05:00	1.2	763.2	766.3		61
12.11.2021 02:00	0.9	763.5	766.6		64
11.11.2021 23:00	3.7	763.0	766.1		47
11.11.2021 20:00	8.7	762.5	765.7		27
11.11.2021 17:00	11.2	761.9	765.1		21
11.11.2021 14:00	12.2	761.8	764.9		20
11.11.2021 11:00	10.7	763.4	766.6		23
11.11.2021 08:00	7.6	763.3	766.5		31
11.11.2021 05:00	7.6	762.3	765.4		32
11.11.2021 02:00	5.7	761.8	764.9		41
10.11.2021 23:00	8.3	761.5	764.6		31
10.11.2021 20:00	10.0	760.9	764.0		26
10.11.2021 17:00	12.2	759.6	762.7		24
10.11.2021 14:00	14.4	758.0	761.2		22
10.11.2021 11:00	13.1	758.8	762.0		24
10.11.2021 08:00	9.4	759.1	762.2		37
10.11.2021 05:00	1.3	758.2	761.3		73
10.11.2021 02:00	4.4	758.8	761.9		54
09.11.2021 23:00	7.5	759.4	762.6		38
09.11.2021 20:00	8.1	759.1	762.3		35
09.11.2021 17:00	9.4	758.4	761.5		31
09.11.2021 14:00	11.0	757.9	761.1		27
09.11.2021 11:00	9.4	759.8	763.0		29
09.11.2021 08:00	6.3	760.7	763.9		34
09.11.2021 05:00	0.0	761.3	764.5		58
09.11.2021 02:00	2.4	762.6	765.8		41
08.11.2021 23:00	2.8	763.1	766.3		43
08.11.2021 20:00	4.1	763.3	766.5		36
08.11.2021 17:00	5.7	763.4	766.6		29
08.11.2021 14:00	7.1	763.3	766.5		24
08.11.2021 11:00	4.6	763.8	767.0		27
08.11.2021 08:00	1.0	764.6	767.8		30
08.11.2021 05:00	0.0	764.1	767.3		37
08.11.2021 02:00	0.1	765.4	768.6		37
07.11.2021 23:00	-0.3	766.3	769.6		40
07.11.2021 20:00	0.1	767.2	770.5		42
07.11.2021 17:00	1.1	767.4	770.7		45
07.11.2021 14:00	0.3	768.2	771.5		57
07.11.2021 11:00	-2.5	770.7	774.0		86
07.11.2021 08:00	-2.7	771.2	774.5		84
07.11.2021 05:00	-2.8	770.9	774.2		85
07.11.2021 02:00	-1.7	771.2	774.4		88
06.11.2021 23:00	-0.8	770.2	773.4		82
06.11.2021 20:00	0.6	768.9	772.1		89
06.11.2021 17:00	5.6	764.8	767.9		73
06.11.2021 14:00	10.4	762.1	765.3		89
06.11.2021 11:00	12.5	762.1	765.2		95
06.11.2021 08:00	11.7	761.2	764.4		98
06.11.2021 05:00	11.5	760.7	763.8		94
06.11.2021 02:00	11.4	760.9	763.9		90
05.11.2021 23:00	11.2	760.6	763.7		88
05.11.2021 20:00	10.9	760.0	763.2		87
05.11.2021 17:00	11.6	759.0	762.1		85
05.11.2021 14:00	11.9	759.3	762.4		81
05.11.2021 11:00	9.5	760.8	763.9		90
05.11.2021 08:00	8.8	760.5	763.6		94
05.11.2021 05:00	8.4	760.0	763.1		94
05.11.2021 02:00	8.2	760.3	763.4		97
04.11.2021 23:00	8.1	760.1	763.3		97
04.11.2021 20:00	8.4	759.5	762.7		91
04.11.2021 17:00	10.6	758.2	761.3		83
04.11.2021 14:00	13.9	758.4	761.5		65
04.11.2021 11:00	10.8	760.0	763.1		79
04.11.2021 08:00	8.7	759.7	762.9		92
04.11.2021 05:00	8.7	759.0	762.1		97
04.11.2021 02:00	7.6	759.7	762.8		98
03.11.2021 23:00	6.8	759.9	763.0		96
03.11.2021 20:00	7.8	759.3	762.4		92
03.11.2021 17:00	10.1	758.4	761.5		83
03.11.2021 14:00	11.9	758.8	761.9		78
03.11.2021 11:00	11.1	760.9	764.0		83
03.11.2021 08:00	8.8	761.7	764.8		94
03.11.2021 05:00	8.6	761.5	764.7		94
03.11.2021 02:00	7.6	762.4	765.6		95
02.11.2021 23:00	5.9	763.1	766.3		94
02.11.2021 20:00	7.2	763.0	766.2		92
02.11.2021 17:00	11.1	762.7	765.8		76
02.11.2021 14:00	12.0	763.2	766.3		72
02.11.2021 11:00	10.6	765.1	768.2		74
02.11.2021 08:00	9.1	765.7	768.8		80
02.11.2021 05:00	9.1	765.7	768.8		81
02.11.2021 02:00	8.6	767.1	770.2		79
01.11.2021 23:00	8.3	767.7	770.8		81
01.11.2021 20:00	8.8	768.1	771.2		86
01.11.2021 17:00	12.0	767.7	770.8		68
01.11.2021 14:00	12.4	768.7	771.8		60
01.11.2021 11:00	10.5	770.7	773.8		57
01.11.2021 08:00	8.8	770.5	773.7		65
01.11.2021 05:00	7.7	770.2	773.3		88
01.11.2021 02:00	9.5	770.4	773.5		88
31.10.2021 23:00	7.9	770.2	773.3		88
31.10.2021 20:00	11.7	769.3	772.5		70
31.10.2021 17:00	15.7	767.5	770.6		37
31.10.2021 14:00	17.1	767.0	770.1		32
31.10.2021 11:00	16.0	767.9	771.1		30
31.10.2021 08:00	13.5	767.1	770.2		31
31.10.2021 05:00	13.5	765.5	768.6		30
31.10.2021 02:00	14.5	765.4	768.4		31
30.10.2021 23:00	9.9	764.7	767.8		80
30.10.2021 20:00	11.3	763.9	767.0		76
30.10.2021 17:00	17.3	762.7	765.8		49
30.10.2021 14:00	19.8	762.4	765.4		37
30.10.2021 11:00	16.2	763.5	766.6		55
30.10.2021 08:00	8.3	763.7	766.9		97
30.10.2021 05:00	6.7	762.6	765.7		95
30.10.2021 02:00	7.7	762.7	765.7		94
29.10.2021 23:00	8.7	762.9	766.0		90
29.10.2021 20:00	11.9	762.8	766.0		78
29.10.2021 17:00	16.7	762.1	765.2		50
29.10.2021 14:00	19.0	762.2	765.3		45
29.10.2021 11:00	14.8	764.2	767.3		59
29.10.2021 08:00	8.7	765.1	768.2		82
29.10.2021 05:00	7.2	764.2	767.4		87
29.10.2021 02:00	8.6	764.8	767.8		84
28.10.2021 23:00	8.6	765.1	768.3		85
28.10.2021 20:00	11.7	765.2	768.4		72
28.10.2021 17:00	16.8	764.5	767.6		48
28.10.2021 14:00	18.5	764.2	767.3		32
28.10.2021 11:00	16.2	765.4	768.6		36
28.10.2021 08:00	9.9	765.3	768.4		63
28.10.2021 05:00	7.0	764.4	767.5		79
28.10.2021 02:00	7.2	764.5	767.6		75
27.10.2021 23:00	7.7	764.3	767.4		72
27.10.2021 20:00	10.2	764.1	767.2		57
27.10.2021 17:00	18.9	763.4	766.5		26
27.10.2021 14:00	21.2	763.9	767.0		18
27.10.2021 11:00	18.7	766.3	769.3		23
27.10.2021 08:00	12.4	767.0	770.2		41
27.10.2021 05:00	13.1	766.3	769.4		29
27.10.2021 02:00	14.0	766.0	769.0		28
26.10.2021 23:00	15.0	765.3	768.4		26
26.10.2021 20:00	10.9	764.0	767.2		57
26.10.2021 17:00	20.4	762.1	765.2		17
26.10.2021 14:00	22.2	761.8	764.8		15
26.10.2021 08:00	13.2	762.2	765.3		54
26.10.2021 05:00	9.1	761.2	764.2		93
26.10.2021 02:00	9.7	760.8	763.9		91
25.10.2021 23:00	9.8	760.8	763.9		90
25.10.2021 20:00	11.5	760.7	763.9		82
25.10.2021 17:00	16.2	760.3	763.5		56
25.10.2021 14:00	18.0	760.6	763.6		49
25.10.2021 11:00	14.3	762.5	765.7		58
25.10.2021 08:00	8.6	763.3	766.5		85
25.10.2021 05:00	6.0	763.2	766.3		94
25.10.2021 02:00	6.6	763.8	766.9		92
24.10.2021 23:00	7.6	764.4	767.5		90
